SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
11,Wilson's Storm Petrel,Oceanites oceanicus,,33,avibase-D295D249,ebird_single,Wilson's Storm Petrel,Oceanites oceanicus,4751,Oceanites oceanicus,wispet,Southern Storm Petrels,Procellariiformes,LC,https://datazone.birdlife.org/species/factsheet/22698436,1,false,false,false,false,30.4,Marine,3,3,Carnivore,Aquatic predator,Aerial,28528.95,Seabird species maps are unreliable because they are strongly depend on effort,
12,Leach's Storm Petrel,Oceanodroma leucorhoa,,31,avibase-C5FB15C6,ebird_single,Leach's Storm Petrel,Hydrobates leucorhous,4807,Hydrobates leucorhous,lcspet,Northern Storm Petrels,Procellariiformes,VU,https://datazone.birdlife.org/species/factsheet/132438298,1,false,false,false,false,36.7,Marine,3,3,Carnivore,Aquatic predator,Aerial,110025337.7,Seabird species maps are unreliable because they are strongly depend on effort,
13,Matsudaira's Storm Petrel,Oceanodroma matsudairae,0,#N/A,avibase-6AA236DD,ebird_single,Matsudaira's Storm Petrel,Hydrobates matsudairae,4803,Hydrobates matsudairae,maspet2,Northern Storm Petrels,Procellariiformes,VU,https://datazone.birdlife.org/species/factsheet/22698548,1,false,false,false,false,62,Marine,3,3,Carnivore,Aquatic predator,Aerial,8.12,,Rejected
14,Red-tailed Tropicbird,Phaeton rubricauda,0,#N/A,avibase-C412CD62,ebird_single,Red-tailed Tropicbird,Phaethon rubricauda,4656,Phaethon rubricauda,rettro,Tropicbirds,Phaethontiformes,LC,https://datazone.birdlife.org/species/factsheet/22696641,1,false,false,false,false,671.9,Marine,3,3,Carnivore,Aquatic predator,Aerial,187720.42,,"Rejected by Zimmerman et al. 1996. See East African Rarities Committee (EARC) Special Report
Species included for East African countries in Britton (1980)
which have since been considered unacceptable. https://eararities.org/downloads/Fisher,%20Pearson%20&%20Hunter%202016.pdf"
15,White-tailed Tropicbird,Phaeton lepturus,,40,avibase-1D07B501,ebird_single,White-tailed Tropicbird,Phaethon lepturus,4661,Phaethon lepturus,whttro,Tropicbirds,Phaethontiformes,LC,https://datazone.birdlife.org/species/factsheet/22696645,1,false,false,false,true,328,Marine,3,3,Carnivore,Aquatic predator,Aerial,88168.39,,
16,Great White Pelican,Pelecanus onocrotalus,,42,avibase-8BAFB01E,ebird_single,Great White Pelican,Pelecanus onocrotalus,5234,Pelecanus onocrotalus,grwpel1,Pelicans,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697590,1,false,false,false,true,9322.3,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,810182.64,,
17,Pink-backed Pelican,Pelecanus rufescens,,41,avibase-8D24E93C,ebird_single,Pink-backed Pelican,Pelecanus rufescens,5236,Pelecanus rufescens,pibpel1,Pelicans,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697595,1,false,false,false,true,5419.6,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,14141336.63,,
18,Red-footed Booby,Sula sula,,1027,avibase-0A4609D1,ebird_single,Red-footed Booby,Sula sula,5030,Sula sula,refboo,Boobies and Gannets,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22696694,1,false,false,false,false,1031.1,Marine,3,2,Carnivore,Aquatic predator,Aerial,122459893.2,,
19,Masked Booby,Sula dactylatra,,45,avibase-22D1B4A2,ebird_single,Masked Booby,Sula dactylatra,5041,Sula dactylatra,masboo,Boobies and Gannets,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22736173,1,false,false,false,true,1732.1,Marine,3,2,Carnivore,Aquatic predator,Aerial,130196617.9,,
20,Brown Booby,Sula leucogaster,,46,avibase-05520B42,ebird_single,Brown Booby,Sula leucogaster,5034,Sula leucogaster,brnboo,Boobies and Gannets,Suliformes,NE,,1,false,false,false,true,1288.8,Marine,3,2,Carnivore,Aquatic predator,Aerial,26818777.48,,
21,Great Cormorant,Phalacrocorax carbo,,9638,avibase-3DF5C587,ebird_single,Great Cormorant,Phalacrocorax carbo,5124,Phalacrocorax carbo,grecor,Cormorants and Shags,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22696792,1,false,false,false,true,2529,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,24540701.98,,
22,Long-tailed Cormorant,Phalacrocorax africanus,,50,avibase-E255DCE1,ebird_single,Reed Cormorant,Microcarbo africanus,5066,Microcarbo africanus,lotcor1,Cormorants and Shags,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22696725,1,false,false,false,true,47.3,Wetland,2,1,Carnivore,Invertivore,Insessorial,595112.59,,
23,African Darter,Anhinga rufa,,52,avibase-5C7936A7,ebird_single,African Darter,Anhinga rufa,5059,Anhinga rufa,darter3,Anhinga and Darters,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22696705,1,false,false,false,true,1480.1,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,17976599.63,,
24,Greater Frigatebird,Fregata minor,,53,avibase-788EBCAB,ebird_single,Great Frigatebird,Fregata minor,5016,Fregata minor,grefri,Frigatebirds,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22697733,1,false,false,false,true,1274.7,Marine,3,3,Carnivore,Aquatic predator,Aerial,24816.16,This species is prone to misidentification and its maps might be affected by error.,
25,Lesser Frigatebird,Fregata ariel,,1013,avibase-09ED7E92,ebird_single,Lesser Frigatebird,Fregata ariel,5009,Fregata ariel,lesfri,Frigatebirds,Suliformes,LC,https://datazone.birdlife.org/species/factsheet/22697738,1,false,false,false,false,804.3,Marine,3,3,Carnivore,Aquatic predator,Aerial,94658392.52,This species is prone to misidentification and its maps might be affected by error.,
