Column4,common_name,scientific_name,Column1,category,Column2,Column3
97,Chocolate-backed Kingfisher,Halcyon badia,,FF,#N/A,#N/A
100,White-bellied Kingfisher,Alcedo leucogaster,,FF,#N/A,#N/A
102,African Dwarf Kingfisher,Ispidina lecontei,,FF,#N/A,#N/A
105,Black Bee-eater,Merops gularis,,FF,#N/A,#N/A
109,Blue-throated  Roller,Eurystomus gularis,,FF,#N/A,#N/A
112,White-crested  Hombill,Tropicranus albocristatus,,FF,#N/A,#N/A
113,Black Dwarf Hombill,Tockus hartlaubi,,FF,#N/A,#N/A
114,Red-billed Dwarf  Hombill,Tockus camurus,,FF,#N/A,#N/A
115,Crowned  Hombill,Tockus alboterminatus,Lophoceros alboterminatus,f,Lophoceros alboterminatus,#N/A
116,African Pied Hombill,Tockus fasciatus,,F,#N/A,#N/A
117,Trumpeter  Hombill,Bycanistes bucinator   ,Bycanistes bucinator,F,Bycanistes bucinator,#N/A
118,Piping Hombill,Bycanistes fistulator,,FF,#N/A,#N/A
121,White-thighed  Hombill,Bycanistes cylindricus,,FF,#N/A,#N/A
122,Black-wattled  Hombill,Ceratogymna atrata,,FF,#N/A,#N/A
127,Western Green Tinkerbird,Pogoniulus coryphaeus,Pogoniulus simplex,FF,Pogoniulus simplex,#N/A
128,Eastern Green Tinkerbird,Pogoniulus simplex ,Pogoniulus simplex,FF,Pogoniulus simplex,#N/A
130,Red-rumped Tinkerbird,Pogoniulus atrojlavus,,FF,#N/A,#N/A
131,Yellow-throated Tinkerbird,Pogoniulus subsulphureus,,FF,#N/A,#N/A
135,Red-faced Barbet,Lybius rubrifacies,,F,#N/A,#N/A
140,Spotted Honeyguide,Indicator maculatus,,FF,#N/A,#N/A
144,Thick-billed  Honeyguide,Indicator conirostris,Indicator minor,FF,Indicator minor,#N/A
146,Willcocks's Honeyguide,Indicator willcocksi,,FF,#N/A,#N/A
147,Dwarf  Honeyguide,Indicator pumilio,,FF,#N/A,#N/A
149,Lyre-tailed  Honeyguide,Melichneutes robustus,,FF,#N/A,#N/A
150,Zenker's Honeyguide,Melignomon zenkeri,,FF,#N/A,#N/A
155,African Piculet,Sasia africana,,FF,#N/A,#N/A
163,Gabon Woodpecker,Dendropicos gabonensis,,F,#N/A,#N/A
166,Elliot's Woodpecker,Dendropicos elliotii,,FF,#N/A,#N/A
167,Grey Woodpecker,Dendropicos goertae,Mesopicus goertae,f,Mesopicus goertae,#N/A
168,Olive Woodpecker,Dendropicos griseocephalus,,FF,#N/A,#N/A
