Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
66,Bittern,Dwarf,Ixobrychus,sturmii,0.3312,35,2022-09-21,0.0304,7,2022-05-14
67,Bittern,Little,Ixobrychus,minutus,0.7098,75,2022-09-27,0.0913,21,2022-10-08
969,Blackcap,Blackcap,Sylvia,atricapilla,3.2365,342,2022-04-09,0.4477,103,2022-10-28
1190,Bluebill,Red-headed,Spermophaga,ruficapilla,0.5205,55,2022-11-08,0.0478,11,2021-11-30
7865,Boubou,"Black ",Laniarius,nigerrimus,0.0095,1,2019-01-18,0.0043,1,2018-10-02
7867,Boubou,"East Coast",Laniarius,sublacteus,6.0471,639,2022-10-29,1.6428,378,2022-10-28
14193,Boubou,Ethiopian,laniarius,aethiopicus,2.0062,212,2022-09-05,0.6519,150,2022-10-23
977,Boubou,"Ethiopian ",Laniarius,aethiopicus,18.2076,1924,2021-05-15,3.0640,705,2020-10-17
2430,Boubou,Slate-colored,Laniarius,funebris,21.7943,2303,2022-11-05,4.3287,996,2022-11-05
7866,Boubou,Tropical,Laniarius,major,8.6969,919,2022-11-09,2.4512,564,2022-11-08
1191,Bristlebill,Red-tailed,Bleda,syndactylus,0.5394,57,2022-11-08,0.0652,15,2022-05-24
454,Broadbill,African,Smithornis,capensis,0.3501,37,2022-09-11,0.0348,8,2022-10-15
3024,Brownbul,Northern,Phyllastrephus,strepitans,13.6084,1438,2022-10-27,2.0644,475,2022-10-08
546,Brownbul,Terrestrial,Phyllastrephus,terrestris,0.5773,61,2022-10-21,0.1260,29,2022-02-26
11491,Bulbul,Common,Pycnonotus,barbatus,21.3684,2258,2022-11-09,8.0186,1845,2022-11-11
545,Bulbul,Dark-capped,Pycnonotus,tricolor,12.5864,1330,2022-11-05,3.7594,865,2022-10-28
3036,Bulbul,Dark-capped,Pycnonotus,tricolor,24.1790,2555,2021-05-15,5.2936,1218,2021-05-08
3032,Bulbul,Dodson's,Pycnonotus,dodsoni,8.0439,850,2022-10-21,2.3643,544,2022-10-20
872,Bunting,Cinnamon-breasted,Emberiza,tahapisi,2.7728,293,2022-10-22,0.5737,132,2022-10-08
874,Bunting,Golden-breasted,Emberiza,flaviventris,5.6307,595,2022-11-09,0.8779,202,2022-10-12
4032,Bunting,Ortolan,Emberiza,hortulana,0.0189,2,2021-11-30,0.0043,1,2021-12-01
4038,Bunting,"Somali Golden-breasted",Emberiza,poliopleura,1.8170,192,2022-10-09,0.3607,83,2022-10-09
4048,Bunting,Striolated,Emberiza,striolata,0.0095,1,2018-05-07,0.0043,1,2018-05-13
