SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
67,African Pygmy Goose,Nettapus auritus,,92,avibase-EC7C1618,,
68,African Black Duck,Anas sparsa,,95,avibase-1EAFAD9F,,
69,Cape Wigeon,Anas capensis,,98,avibase-25DA0F41,,
70,Wigeon,Anas penelope,,1280,avibase-15EE0D36,,
71,Gadwall,Anas strepera,,1282,avibase-C235A4D7,,"CJ: A rare bird previously, clearly become even rarer"
72,Teal,Anas crecca,,1274,avibase-BC6C3CCE,,
73,Garganey,Anas querquedula,,885,avibase-F577BA0F,,"CJ: Yes, this is surely a correct picture of its decline"
74,Yellow-billed Duck,Anas undulata,,96,avibase-7F64AD87,,CJ: Yes… interesting that it has gone from the coast. 
75,Northern Pintail,Anas acuta,,886,avibase-56CCA717,,
76,Red-billed Teal,Anas erythrorhynchos,,97,avibase-8F6876AC,,
77,Hottentot Teal,Anas hottentota,,99,avibase-FA831F65,,
78,Shoveler,Anas clypeata,,93,avibase-ED4CE8E7,,
79,Southern Pochard,Netta erythrophthalma,,102,avibase-36C0242E,,CJ: The Malindi increase is definitely due to much greater observer effort (L Jilore is visited MANY more times than it would have been during the first bird atlas..)
80,Northern Pochard,Aythya ferina,,1296,avibase-A96692E0,,
81,White-eyed Pochard,Aythya nyroca,,1304,avibase-7CF91527,,
82,Tufted Duck,Aythya fuligula,,1298,avibase-67CEA1C1,,CJ: SO interesting that this sp has vanished. It was always uncommon but now is not present.
83,Maccoa Duck,Oxyura maccoa,,103,avibase-1C2F4E80,,
84,White-backed Duck,Thalassornis leuconotus,,104,avibase-2EEDACD5,,
85,Secretary Bird,Sagittarius serpentarius,,105,avibase-DCBCCEB8,,
86,Palm-nut Vulture,Gypohierax angolensis,,112,avibase-14885C18,,
87,Lappet-faced Vulture,Torgos tracheliotus,,108,avibase-672EA454,,
88,White-headed Vulture,Trigonoceps occipitalis,,109,avibase-93D7EC56,,
89,Ruppell's Vulture,Gyps rueppellii,,1029,avibase-76B512B1,,
90,African White-backed Vulture,Gyps africanus,,107,avibase-0419DDC2,,
91,Egyptian Vulture,Neophron percnopterus,,111,avibase-6D3480A6,,
92,Hooded Vulture,Neophron monachus,,110,avibase-131038AD,,
93,Lammergeier,Gypaetus barbatus,,150,avibase-81DB7410,This species was re-introduces in Hell's Gate (62c),
94,Harrier-Hawk,Polyboroides typus,,171,avibase-C505EA72,,
95,Pallid Harrier,Circus macrourus,,168,avibase-22647E26,,
96,Montagu's Harrier,Circus pygargus,,170,avibase-63B6412E,,
97,Eurasian Marsh Harrier,Circus aeruginosus,,166,avibase-E2A19474,,
98,African Marsh Harrier,Circus ranivorus,,167,avibase-2A2C169B,This species is prone to misidentification and its maps might be affected by error.,
99,Bateleur,Terathopius ecaudatus,,151,avibase-6CBD8724,,
100,Short-toed Snake Eagle,Circaetus gallicus,,0,0,,
101,Brown Snake Eagle,Circaetus cinereus,,145,avibase-6904D83F,,
102,Banded Snake Eagle,Circaetus cinerascens,,148,avibase-4327F813,,
103,Southern Banded Snake Eagle,Circaetus fasciolatus,,147,avibase-9F2839A9,,
104,Great Sparrowhawk,Accipiter melanoleucus,,159,avibase-819AB823,,
105,Ovampo Sparrowhawk,Accipiter ovampensis,,157,avibase-BAE91683,,
106,Eurasian Sparrowhawk,Accipiter nisus,,1006,avibase-DB376A66,This species is prone to misidentification and its maps might be affected by error.,
107,Rufous Sparrowhawk,Accipiter rufiventris,,156,avibase-EC0E680F,,
108,African Goshawk,Accipiter tachiro,,160,avibase-35A1472C,,
109,Little Sparrowhawk,Accipiter minullus,,158,avibase-CE1CF6FD,,
110,Shikra,Accipiter badius,,161,avibase-1A0ECB6E,,
111,Levant Sparrowhawk,Accipiter brevipes,,2074,avibase-8492E4B7,This species is prone to misidentification and its maps might be affected by error.,
112,Dark Chanting Goshawk,Melierax metabates,,163,avibase-D2AFD39B,,
113,Pale Chanting Goshawk,Melierax poliopterus,,2136,avibase-FA3A1F20,,
