TAXON_CONCEPT_ID	n_records
avibase-23ACB56E	321
avibase-0D52DFC7	320
avibase-C97A5C39	318
avibase-3C79F1AC	317
avibase-FEE35F4C	315
avibase-E6137E65	315
avibase-1EA60B94	315
avibase-8DB3F1A2	311
avibase-1F2F7323	311
avibase-61F0E581	307
avibase-5ACF7FB3	304
avibase-3E4783BA	304
avibase-69E3504C	302
avibase-E3C780D6	298
avibase-E6A0D208	297
avibase-20C23C74	297
avibase-ACDC8DEE	295
avibase-F8469E3F	294
avibase-E0D521B7	283
avibase-1C2F4E80	283
avibase-987C8F6E	281
avibase-2E3D5AAF	280
avibase-CDC724FD	279
avibase-ED5A7E8F	278
avibase-3D122849	278
avibase-AD6E9B95	277
avibase-5238FF10	277
avibase-43FE4788	277
avibase-596BDE51	275
avibase-53288666	273
avibase-CAFE345D	272
avibase-6938F4A4	272
avibase-3690F067	272
avibase-2F467821	272
avibase-56CCA717	269
avibase-78573BB2	268
avibase-80D4B0FE	266
avibase-1E5D636D	264
avibase-B01090EF	256
avibase-1350773F	255
avibase-C54DCA26	254
avibase-35EC3BBF	254
avibase-3F0EE474	252
avibase-0895DD84	252
avibase-FB96690D	251
avibase-8C13DA6F	248
avibase-29B03FAE	247
avibase-A28F0D10	245
avibase-0DA8BB90	245
avibase-DB09507D	243
avibase-87EEBD3E	243
avibase-26D9F29E	241
avibase-0D419595	239
avibase-ED9EE880	237
avibase-ECC40D44	237
avibase-CFD25837	237
avibase-E4672C85	235
avibase-871F32D9	234
avibase-C0876FE9	233
avibase-DABC20A1	231
avibase-C1CBA33A	229
avibase-F56A73BF	228
avibase-2A2CC7B3	223
avibase-1E7CADC2	223
avibase-0394BA0B	223
avibase-EC7C1618	222
avibase-CD8DEBE3	222
avibase-9CE4FC4C	222
avibase-9A684C99	222
avibase-07FD1D4C	220
avibase-008B89FA	219
avibase-F840409E	218
avibase-BFF3AA65	215
avibase-83E21A84	214
avibase-648936C0	213
avibase-3805ACAD	213
avibase-7E3578A2	212
avibase-15B2DD49	210
avibase-7387E828	209
avibase-34E27C2A	209
avibase-D91BCC1B	208
avibase-2470FC01	208
avibase-84E0CEF2	207
avibase-5EA2B90C	207
avibase-CC7862AF	206
avibase-9DBAAB1D	206
avibase-3CD0F535	205
avibase-A927C1AE	204
avibase-74236837	203
avibase-FC085C6D	202
avibase-F44BD4BE	200
avibase-C9A1C773	200
avibase-4996833A	200
avibase-AB507233	199
avibase-A0A3B03D	199
avibase-B91DD3C8	198
avibase-791DED18	197
avibase-3B66D504	197
avibase-D5549C6D	193
avibase-85DF723B	192
avibase-80B649D4	189
avibase-0AA15ACA	189
avibase-64078193	186
avibase-9164F314	184
avibase-21ADC3ED	184
avibase-61CECCA7	181
avibase-DF7C8FC5	180
avibase-C6E4B594	180
avibase-2C504059	179
avibase-4A039821	178
avibase-0AC6CF82	178
avibase-73FB8B7A	169
avibase-22832FF4	167
avibase-95A724BE	165
avibase-FD2FEFFD	164
avibase-1A6B766A	164
avibase-F6B77E64	163
avibase-CD2F7C98	162
avibase-76E322E3	160
avibase-2C8B24B6	160
avibase-D916AABA	159
avibase-4321596C	158
avibase-F7932185	157
avibase-D6BFC73A	156
avibase-A20878F0	156
avibase-C69E0E28	155
avibase-6A64EFCB	155
avibase-5E456730	155
avibase-1066028B	154
avibase-E7C7EE3A	153
avibase-53E61277	153
avibase-0BC36521	153
avibase-8CA1A851	152
avibase-3029C547	150
avibase-7C3959D6	149
avibase-FB08E501	147
avibase-EF4617E8	147
avibase-BAE91683	147
avibase-8E612CF6	146
avibase-4B1A8533	146
avibase-1D25E0DB	146
avibase-EC0E680F	145
avibase-C59DFD44	145
avibase-B283E332	144
avibase-AC0F25BB	144
avibase-E4385C2A	141
avibase-07FFFF1F	141
avibase-52E6406E	139
avibase-84E4178E	137
avibase-4FD242D0	137
avibase-B49935ED	136
avibase-A744B03C	135
avibase-9AEEFA09	135
avibase-57B05159	135
avibase-4E61514C	134
avibase-6B9529AE	131
avibase-46DECAEE	126
avibase-7FC8B7ED	123
avibase-8F269702	121
avibase-B8D42059	120
avibase-8C50CB2D	119
avibase-1E2EC99C	118
avibase-A76838A0	117
avibase-0D42A253	115
avibase-8F18EC0A	112
avibase-AB8A3029	111
avibase-3FFC9B29	111
avibase-F4D0DB8E	110
avibase-2B020CA0	108
avibase-4971D1EF	106
avibase-3C12AA44	103
avibase-9ADA47C6	101
avibase-693FC6FD	99
avibase-80E8EBB8	98
avibase-60A39CF9	98
avibase-CF5C013D	95
avibase-35A2CCDF	95
avibase-0EDEEB49	94
avibase-BD0C066C	93
avibase-7C2B3DB6	90
avibase-77FEB897	90
avibase-5D14080C	90
avibase-17310BF0	89
avibase-FC1BE879	88
avibase-10B56544	88
avibase-E44FAD6F	87
avibase-A070171E	87
avibase-9D29C252	87
avibase-2AD52363	87
avibase-9DACBD08	86
avibase-5A184029	86
avibase-D2CAA18B	85
avibase-BE76A224	85
avibase-BA56C8FC	85
avibase-BD34FDFD	84
avibase-4592C07E	84
avibase-E05A96F3	83
avibase-B24A13C7	82
avibase-78DE8554	82
avibase-0405CA69	82
avibase-FDE2B5F5	81
avibase-0F82D614	81
avibase-9CAAD123	80
avibase-7DCA1C1E	80
avibase-4A83155B	80
avibase-14EF1335	80
avibase-95820ED1	79
avibase-8A3CDE4A	79
avibase-406E1A4D	79
avibase-F22CCF78	78
avibase-D7BF5045	77
avibase-F9F4B04D	76
avibase-5392A0C7	75
avibase-42C9B9B1	74
avibase-DF32B1F9	73
avibase-76E45A19	73
avibase-0A14882F	73
avibase-0DB2F2AE	71
avibase-42720061	70
avibase-3FD65FF2	69
avibase-21C4CE6A	69
avibase-BAC4CA22	68
avibase-6B552CE9	67
avibase-67EAC02D	67
avibase-3E7F825D	67
avibase-E9A83FB4	66
avibase-52B4F230	66
avibase-D30DC715	65
avibase-4FDBC0CB	65
avibase-375BAF53	65
avibase-7085B8A0	63
avibase-578C6971	63
avibase-49F5A801	63
avibase-27CE7132	63
avibase-8601529F	62
avibase-408639E6	61
avibase-400E032C	61
avibase-295B9665	61
avibase-75932535	60
avibase-59E7ABE5	60
avibase-4C7B3D81	60
avibase-6ADB636C	59
avibase-09A0F2EB	59
avibase-3D25568A	58
avibase-27012CC9	58
avibase-6A1ED1C2	57
avibase-0669BFE7	56
avibase-F5D22166	55
avibase-CEF3A2C9	55
avibase-9EA1F12D	55
avibase-5BFC242D	55
avibase-37863AE7	55
avibase-71682A47	54
avibase-5108E1D3	54
avibase-3E39D1D8	54
avibase-0CEB2DA6	54
avibase-419AEB97	53
avibase-CDC8A3E6	52
avibase-D8E67602	51
avibase-AEEED5D0	51
avibase-45C55FDE	51
avibase-E6F3BA54	50
avibase-CBA39A29	50
avibase-A23B8E7A	49
avibase-28BE1D24	49
avibase-428EC94D	48
avibase-CE117986	47
avibase-840E4B9F	46
avibase-7C876763	46
avibase-4C35510F	46
avibase-4A24F0A2	46
avibase-ADC1F0C9	45
avibase-A526534E	45
avibase-5351025C	45
avibase-F8FCE84A	44
avibase-CB7FB32A	44
avibase-9EA74ADA	44
avibase-FF41B79F	42
avibase-3D09BB60	42
avibase-2E6CDA96	42
avibase-F1A4B955	41
avibase-81DB7410	41
avibase-65EF9CD1	41
avibase-52440FBD	41
avibase-ED663165	40
avibase-E3798D6F	40
avibase-18B10CF9	40
avibase-129EE03B	40
avibase-F375B25B	39
avibase-E75BA92C	39
