SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
47,Abdim's Stork,Ciconia abdimii,78,avibase-26CD0319,Abdim's Stork,Ciconia abdimii,5000,Ciconia abdimii,abdsto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697673,1,0,1,0,1,1398,Grassland,3,1,Carnivore,Invertivore,Terrestrial,6486422.91,,,Least Concern,65,59,17,48,11,16.8015678257772,10.7927945870845
48,Woolly-necked Stork,Ciconia episcopus,77,avibase-5157C558,African Woolly-necked Stork,Ciconia microscelis,5002,Ciconia microscelis,wonsto2,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22727265,1,0,0,0,1,2061,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,3858090.35,,,Least Concern,45,56,11,34,22,10.8687342291433,21.2482829795971
49,Saddle-billed Stork,Ephippiorhynchus senegalensis,75,avibase-3D155653,Saddle-billed Stork,Ephippiorhynchus senegalensis,4989,Ephippiorhynchus senegalensis,sabsto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697706,1,0,0,0,1,6158.7,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,11071552.53,,,Near Threatened,47,39,19,28,11,18.8996900996893,10.6432842209574
50,Marabou Stork,Leptoptilos crumeniferus,73,avibase-03C0F97C,Marabou Stork,Leptoptilos crumenifer,4978,Leptoptilos crumenifer,marsto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697716,1,0,0,0,1,6067.9,Grassland,3,1,Omnivore,Omnivore,Terrestrial,12361408.84,,,Least Concern,82,83,15,67,16,15.3383566713599,15.2393730343995
51,Open-billed Stork,Anastomus lamelligerus,74,avibase-0F14ECE4,African Openbill,Anastomus lamelligerus,4974,Anastomus lamelligerus,afrope1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697664,1,0,0,0,1,1081,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,13409712.69,,,Least Concern,51,60,7,44,16,6.93261842079241,15.2947653606553
52,Yellow-billed Stork,Mycteria ibis,76,avibase-4F92C892,Yellow-billed Stork,Mycteria ibis,4984,Mycteria ibis,yebsto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697654,1,0,0,0,1,2155.6,Wetland,3,2,Carnivore,Omnivore,Terrestrial,15368408.04,,,Least Concern,84,88,9,75,13,9.13443143731513,12.8962510618041
53,Sacred Ibis,Threskiornis aethiopicus,81,avibase-550DE745,African Sacred Ibis,Threskiornis aethiopicus,5206,Threskiornis aethiopicus,sacibi2,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697510,1,0,0,0,1,1493.2,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,17650108.45,,,Least Concern,87,95,8,79,16,8.23041571283657,15.5255962690562
54,Hadada Ibis,Bostrychia hagedash,84,avibase-CAFBA217,Hadada Ibis,Bostrychia hagedash,5181,Bostrychia hagedash,hadibi1,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697463,1,0,0,0,1,1238,Grassland,2,1,Carnivore,Invertivore,Terrestrial,16241597.55,,,Least Concern,76,95,1,75,20,0.996726435465169,19.638085895299
55,Green Ibis,Bostrychia olivacea,2202,avibase-23ACB56E,Olive Ibis,Bostrychia olivacea,5174,Bostrychia olivacea,oliibi2,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697472,1,0,0,0,1,866,Forest,1,1,Carnivore,Omnivore,Terrestrial,802325.59,,,Least Concern,6,5,2,4,1,1.91492097641763,0.952503076056223
56,Glossy Ibis,Plegadis falcinellus,83,avibase-D4540F88,Glossy Ibis,Plegadis falcinellus,5166,Plegadis falcinellus,gloibi,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697422,1,0,0,0,1,626.6,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,23712479.58,,,Least Concern,33,62,3,30,32,2.928723064435,30.8948833956537
