Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
712,836,Black-backed Puffback,Dryoscopus cubla,15.6,10.6,19.7,18.8,15.7,19.7,585,,,,,
711,,Crimson-breasted Shrike,Laniarius atrococcineus,7.1,10.9,23.8,22.1,16.5,19.5,411,,,,,
709,,Southern Boubou,Laniarius ferrugineus,10.7,7.8,16.2,19,15.9,30.4,825,,,,,
708,857,Red-backed Shrike,Lanius collurio,3.6,13.7,24.4,23.3,19.4,15.6,922,,,,,
707,864,Common Fiscal,Lanius collaris,20.2,13.6,21.4,21.1,13.8,10,1414,,,,,
706,863,Lesser Grey Shrike,Lanius minor,4.6,14,24.1,25.5,18.8,12.9,627,,,,,
704,825,Yellow-throated Longclaw,Macronyx croceus,20.6,12.6,19.2,13.6,15.9,18.2,214,,,,,
703,,Cape Longclaw,Macronyx capensis,12.8,10.5,15.7,19.1,16.1,25.7,921,,,,,
701,,Yellow-breasted Pipit,Anthus chloris,3.5,15.5,37.9,13.8,17.2,12.1,58,,,,,
699,821,Bushveld Pipit,Anthus caffer,16.8,17.8,31.4,17.8,10.5,5.8,191,,,,,
697,,African Rock Pipit,Anthus crenatus,6,10.9,27.9,23.7,18.7,12.7,283,,,,,
696,820,Striped Pipit,Anthus lineiventris,11.8,14.1,23.6,22,16.7,11.8,263,,,,,
695,,Buffy Pipit,Anthus vaalensis,3.5,13.3,28.8,26.6,20.3,7.5,518,,,,,
694,818,Plain-backed Pipit,Anthus leucophrys,6.5,10.8,23.3,23.1,19.3,17.1,772,,,,,
693,819,Long-billed Pipit,Anthus similis,6.9,11.1,25,21.8,19.5,15.7,827,,,,,
692,814,African Pipit,Anthus cinnamomeus,7.1,8.6,16.7,19,17.9,30.7,1400,,,,,
689,830,Yellow Wagtail,Motacilla flava,8,22.7,28,20,16,5.3,75,,,,,
688,833,Mountain Wagtail,Motacilla clara,12.6,25.2,30.4,17.3,7.9,6.5,214,,,,,
686,829,Cape Wagtail,Motacilla capensis,14.8,13.7,19.4,20.7,13.4,18,1362,,,,,
685,831,African Pied Wagtail,Motacilla aguimp,18.7,17.8,26.3,12.7,12.5,12,551,,,,,
682,812,African Paradise-Flycatcher,Terpsiphone viridis,12.6,13.2,25.2,19.5,16.6,12.9,914,,,,,
680,811,Blue-mantled Crested-Flycatcher,Trochocercus cyanomelas,12.3,12.3,25.5,14.5,20,15.3,235,,,,,
678,,Fairy Flycatcher,Stenostira scita,14.1,18.1,30.4,18.6,11.3,7.5,829,,,,,
674,,Pririt Batis,Batis pririt,6.6,13.8,21.4,24.9,19.7,13.6,543,,,,,
673,799,Chinspot Batis,Batis molitor,12.8,9.9,18,17.6,18.6,23.1,585,,,,,
672,,Cape Batis,Batis capensis,11.5,12.2,21,21.2,16.3,17.8,523,,,,,
671,710,Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla,9.8,15.5,30,15,14,15.5,193,,,,,
666,702,Dark-capped Yellow Warbler,Chloropeta natalensis,2.5,11.8,20.4,15.5,22.5,27.4,245,,,,,
665,,Fiscal Flycatcher,Sigelus silens,11.1,13.2,20.4,20.8,15,19.5,1238,,,,,
664,788,Southern Black Flycatcher,Melaenornis pammelaina,10.4,13,19.7,17.4,14.7,24.8,483,,,,,
663,,Chat Flycatcher,Bradornis infuscatus,14.1,21.3,27.3,19.7,10.4,7.3,483,,,,,
662,792,Pale Flycatcher,Bradornis pallidus,14.7,18.1,23.5,23.1,13.9,6.7,238,,,,,
661,,Marico Flycatcher,Bradornis mariquensis,5.9,12,23.8,23.8,19,15.5,374,,,,,
659,,Layard's Tit-Babbler,Parisoma layardi,6.3,13,25.1,27.8,16.9,10.9,431,,,,,
658,,Chestnut-vented Tit-Babbler,Parisoma subcaeruleum,7,8.6,20.3,21.7,19.6,22.9,1037,,,,,
657,787,Grey Tit-Flycatcher,Myioparus plumbeus,6.9,8.8,25.5,20.4,21.8,16.7,216,,,,,
656,785,Ashy Flycatcher,Muscicapa caerulescens,14.9,11.8,21,20.5,19.6,12.2,229,,,,,
655,782,African Dusky Flycatcher,Muscicapa adusta,13.9,15.3,22.5,20.5,13.1,14.7,511,,,,,
654,780,Spotted Flycatcher,Muscicapa striata,4.1,11.7,24.3,25.1,18.2,16.7,1060,,,,,
653,,Namaqua Warbler,Phragmacia substriata,15.3,12.5,26.3,22.6,15.6,7.7,327,,,,,
650,,Black-chested Prinia,Prinia flavicans,5.8,7.4,15.5,22.4,18.6,30.4,705,,,,,
649,743,Tawny-flanked Prinia,Prinia subflava,6,5.5,13.9,15.1,16.6,43,604,,,,,
648,,Lazy Cisticola,Cisticola aberrans,9.9,11.2,19.9,15.7,17.4,25.9,483,,,,,
647,721,Croaking Cisticola,Cisticola natalensis,6.4,10.8,15.5,15.5,21.1,30.7,251,,,,,
